Unnamed: 0,Name,Platform,Year_of_Release,Genre,NA_players,EU_players,RU_players,Other_players,Critic_Score,User_Score,Rating
4096,Mario Golf: World Tour,3DS,2014.0,Sports,0.15,0.13,0.17,0.03,78.0,8.2,E
4097,Secret Weapons Over Normandy,PS2,2003.0,Simulation,0.24,0.18,0.0,0.06,81.0,8.2,T
4098,Harvest Moon 64,N64,1999.0,Simulation,0.25,0.06,0.11,0.06,,,
4099,All-Star Baseball 99,N64,1998.0,Sports,0.44,0.04,0.0,0.0,,,
4100,NCAA Football 09,PS2,2008.0,Sports,0.4,0.02,0.0,0.07,,tbd,E
4101,Bratz: The Movie,PS2,2007.0,Simulation,0.24,0.18,0.0,0.06,,5,E
4102,Crash of the Titans,DS,2007.0,Action,0.42,0.02,0.0,0.04,73.0,5.9,E
4103,Dragon Ball: XenoVerse,PS3,2015.0,Fighting,0.16,0.13,0.14,0.06,,7.1,T
4104,Rayman Raving Rabbids: TV Party,DS,2008.0,Misc,0.44,0.01,0.0,0.04,,tbd,E10+
4105,Lollipop Chainsaw,X360,2012.0,Action,0.31,0.12,0.02,0.04,70.0,7,M
4106,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009.0,Shooter,0.24,0.19,0.0,0.05,,,
4107,Vigilante 8: 2nd Offense,PS,1999.0,Racing,0.27,0.18,0.0,0.03,,,
4108,The Saboteur,PS3,2009.0,Action,0.2,0.21,0.0,0.07,72.0,8.1,M
4109,Metal Gear Rising: Revengeance,X360,2013.0,Action,0.3,0.14,0.0,0.04,82.0,7.8,M
4110,Atelier Rorona: Alchemist of Arland,PS3,2009.0,Role-Playing,0.22,0.1,0.11,0.05,,,
4111,Theme Park Roller Coaster,PS2,2000.0,Strategy,0.23,0.18,0.0,0.06,82.0,7.9,E
4112,Bass Pro Shops: The Strike,Wii,2009.0,Sports,0.44,0.0,0.0,0.03,,7.6,E
4113,Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,0.41,0.02,0.02,0.03,,tbd,E10+
4114,NFL Xtreme 2,PS,1999.0,Sports,0.27,0.18,0.0,0.03,,,
4115,Major League Baseball 2K13,X360,2013.0,Sports,0.44,0.0,0.0,0.04,,,
4116,Scrabble 2007 Edition,DS,2007.0,Puzzle,0.0,0.47,0.0,0.0,,,
4117,NHL 16,XOne,2015.0,Sports,0.38,0.05,0.0,0.05,80.0,6,E10+
4118,Midnight Club: Street Racing,GBA,2001.0,Racing,0.34,0.13,0.0,0.01,50.0,5.3,E
4119,Tiger Woods PGA Tour 06,XB,2005.0,Sports,0.35,0.11,0.0,0.02,81.0,5.1,E
4120,Fortune Street,Wii,2011.0,Misc,0.25,0.03,0.17,0.02,68.0,7.5,E
4121,FIFA World Cup Germany 2006,X360,2006.0,Sports,0.19,0.27,0.01,0.0,72.0,6.6,E
4122,Up,PS2,2009.0,Action,0.19,0.05,0.0,0.24,,tbd,E
4123,Grand Prix,2600,1981.0,Racing,0.45,0.03,0.0,0.0,,,
4124,Jake Power: Fireman,DS,2008.0,Adventure,0.08,0.35,0.0,0.05,,tbd,E
4125,World of Outlaws: Sprint Cars 2002,PS2,2002.0,Racing,0.23,0.18,0.0,0.06,80.0,9.1,E
4126,Children of Mana,DS,2006.0,Role-Playing,0.16,0.01,0.29,0.01,65.0,6,E10+
4127,Sonic the Hedgehog,PS3,,Platform,0.0,0.48,0.0,0.0,43.0,4.1,E10+
4128,Fantavision,PS2,2000.0,Puzzle,0.14,0.11,0.19,0.04,72.0,6.3,E
4129,Double Dragon,2600,1989.0,Action,0.45,0.02,0.0,0.01,,,
4130,Alien Trilogy,PS,1996.0,Shooter,0.24,0.16,0.04,0.03,,,
4131,NBA Live 99,N64,1998.0,Sports,0.45,0.02,0.0,0.0,,,
4132,Karate,2600,,Fighting,0.44,0.03,0.0,0.0,,,
4133,X-Men: Next Dimension,PS2,2002.0,Fighting,0.23,0.18,0.0,0.06,61.0,8.7,T
4134,Go Diego Go! Great Dinosaur Rescue,DS,2008.0,Action,0.43,0.01,0.0,0.03,,,
4135,The Godfather (JP sales),PS2,2006.0,Action,0.39,0.02,0.0,0.06,,,
4136,Dynasty Warriors Gundam,PS3,2007.0,Action,0.14,0.01,0.31,0.02,60.0,6.9,T
4137,Doom 3 BFG Edition,X360,2012.0,Shooter,0.28,0.15,0.0,0.04,67.0,6.5,M
4138,Alice in Wonderland,DS,2010.0,Adventure,0.25,0.17,0.0,0.04,78.0,tbd,E10+
4139,Spider-Man 3,Wii,2007.0,Platform,0.42,0.02,0.0,0.04,53.0,5.3,T
4140,Super Puyo Puyo 2,SNES,1995.0,Puzzle,0.0,0.0,0.47,0.0,,,
4141,Rock Band 4,XOne,2015.0,Misc,0.38,0.04,0.0,0.05,79.0,6.4,T
4142,Gauntlet Legends,PS,2000.0,Action,0.26,0.18,0.0,0.03,,,
4143,James Bond 007: Blood Stone,X360,2010.0,Shooter,0.2,0.23,0.0,0.05,62.0,7.1,T
4144,WipEout,PS,1995.0,Action,0.26,0.18,0.0,0.03,,,
4145,Street Fighter X Tekken,X360,2012.0,Fighting,0.31,0.1,0.03,0.04,83.0,4.4,T
4146,Dark Sector,PS3,2008.0,Shooter,0.23,0.16,0.01,0.07,72.0,7.6,M
4147,ICO,PS2,2001.0,Action,0.23,0.18,0.0,0.06,90.0,8.8,T
4148,World of Warcraft: Warlords of Draenor,PC,2014.0,Action,0.08,0.36,0.0,0.03,87.0,5.9,T
4149,Ford Racing Off Road,Wii,2008.0,Racing,0.06,0.39,0.0,0.01,37.0,6.3,E
4150,Cars: Race-O-Rama,DS,2009.0,Racing,0.35,0.08,0.0,0.04,,tbd,E
4151,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011.0,Role-Playing,0.0,0.0,0.47,0.0,,,
4152,Unreal Tournament III,X360,2008.0,Shooter,0.25,0.17,0.01,0.05,82.0,7.6,M
4153,FIFA Soccer 13,WiiU,2012.0,Action,0.17,0.27,0.0,0.04,69.0,6.2,E
4154,Victorious Boxers: Ippo's Road to Glory,PS2,2000.0,Fighting,0.05,0.04,0.38,0.01,75.0,8,T
4155,Densetsu no Stafi,GBA,2002.0,Platform,0.0,0.0,0.46,0.01,,,
4156,Valkyrie Profile 2: Silmeria,PS2,2006.0,Role-Playing,0.04,0.03,0.39,0.01,84.0,9,T
4157,Pinball Hall of Fame: The Williams Collection,Wii,2008.0,Misc,0.41,0.03,0.0,0.04,82.0,8.8,E10+
4158,Hot Wheels Velocity X,PS2,2002.0,Racing,0.23,0.18,0.0,0.06,54.0,7.1,E
4159,MySims Racing,Wii,2009.0,Racing,0.19,0.23,0.0,0.05,68.0,7.4,E
4160,Clash of Elementalists,DS,2010.0,Action,0.0,0.0,0.47,0.0,34.0,tbd,T
4161,F.E.A.R. 2: Project Origin,PS3,2009.0,Shooter,0.19,0.2,0.01,0.08,79.0,7.9,M
4162,The Sims 2: Pets,Wii,2007.0,Simulation,0.41,0.02,0.0,0.04,65.0,7.3,T
4163,L.A. Rush,PS2,2005.0,Racing,0.23,0.18,0.0,0.06,58.0,8,T
4164,Momotarou Dentetsu V,PS,1999.0,Misc,0.0,0.0,0.44,0.03,,,
4165,Doom 64,N64,1997.0,Shooter,0.38,0.08,0.0,0.01,,,
4166,Bomberman Hero,N64,1998.0,Platform,0.27,0.06,0.08,0.05,,,
4167,Automobili Lamborghini,N64,1997.0,Racing,0.28,0.17,0.0,0.01,,,
4168,Quest 64,N64,1998.0,Role-Playing,0.38,0.08,0.0,0.01,,,
4169,Crash: Mind Over Mutant,X360,2008.0,Platform,0.22,0.2,0.0,0.05,60.0,6.5,E10+
4170,Viva Pinata: Trouble in Paradise,X360,2008.0,Simulation,0.16,0.25,0.01,0.05,82.0,7.9,E
4171,Epic Mickey 2: The Power of Two,PS3,2012.0,Action,0.21,0.18,0.0,0.08,59.0,4.3,E
4172,Commando,2600,1987.0,Action,0.44,0.02,0.0,0.0,,,
4173,NBA Ballers: Phenom,PS2,2006.0,Sports,0.23,0.18,0.0,0.06,69.0,8.5,E
4174,Dragon Age Origins: Awakening,X360,2010.0,Role-Playing,0.33,0.1,0.0,0.04,,,
4175,Need for Speed Carbon,XB,2006.0,Racing,0.35,0.1,0.0,0.02,74.0,7.4,E10+
4176,Shadowrun,X360,2007.0,Role-Playing,0.41,0.02,0.0,0.04,66.0,7.5,M
4177,Crazy Taxi: Fare Wars,PSP,2007.0,Racing,0.1,0.22,0.02,0.12,64.0,7.1,E10+
4178,MTV Music Generator,PS,1999.0,Misc,0.26,0.18,0.0,0.03,,,
4179,"Warhammer 40,000: Dawn of War II",PC,2009.0,Strategy,0.0,0.45,0.0,0.02,85.0,8.1,M
4180,Hamsterz Life,DS,2006.0,Action,0.43,0.01,0.0,0.04,,9,E
4181,Emergency Heroes,Wii,2008.0,Racing,0.14,0.27,0.0,0.05,41.0,4.2,E10+
4182,Super Momotarou Dentetsu DX,SNES,1995.0,Misc,0.0,0.0,0.47,0.0,,,
4183,FlingSmash,Wii,2010.0,Action,0.37,0.01,0.07,0.02,48.0,6.8,E
4184,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005.0,Sports,0.0,0.0,0.47,0.0,,,
4185,Cars: Race-O-Rama,PS2,2009.0,Racing,0.27,0.03,0.0,0.17,,tbd,E
4186,Downhill Domination,PS2,2003.0,Racing,0.23,0.18,0.0,0.06,79.0,8.9,T
4187,Dead Space Extraction,Wii,2009.0,Shooter,0.32,0.1,0.01,0.04,82.0,8.1,M
4188,Pirates of the Caribbean: Dead Man's Chest,GBA,2006.0,Adventure,0.33,0.12,0.0,0.01,70.0,5.6,E10+
4189,Silent Hill: Shattered Memories,Wii,2009.0,Action,0.22,0.19,0.01,0.05,79.0,8,M
4190,Active Life: Extreme Challenge,Wii,2009.0,Sports,0.14,0.27,0.0,0.06,56.0,tbd,E
4191,FIFA 12,PC,2011.0,Sports,0.04,0.33,0.0,0.1,,,
4192,Spider-Man: Friend or Foe,DS,2007.0,Action,0.43,0.0,0.0,0.04,55.0,tbd,E10+
4193,World Series of Poker,PS2,2005.0,Misc,0.39,0.01,0.0,0.06,46.0,8.2,E10+
4194,Inazuma Eleven Go 2: Chrono Stone,3DS,2012.0,Role-Playing,0.0,0.01,0.46,0.0,,,
4195,NHL 97,PS,1996.0,Sports,0.26,0.18,0.0,0.03,,,
4196,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009.0,Role-Playing,0.12,0.06,0.27,0.02,75.0,7.3,E10+
4197,Rise of Nightmares,X360,2011.0,Action,0.28,0.13,0.01,0.04,54.0,7.8,M
4198,EA Sports UFC,XOne,2014.0,Sports,0.3,0.12,0.0,0.04,70.0,6.3,T
4199,Kong: The 8th Wonder of the World,GBA,2005.0,Action,0.33,0.12,0.0,0.01,59.0,tbd,E10+
4200,Spider-Man 3,DS,2007.0,Platform,0.41,0.02,0.0,0.04,79.0,6.5,E10+
4201,Dead or Alive 4,X360,2005.0,Fighting,0.3,0.03,0.1,0.03,85.0,8.2,M
4202,Godzilla: Save the Earth,PS2,2004.0,Fighting,0.23,0.18,0.0,0.06,62.0,8.7,T
4203,Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,0.36,0.09,0.0,0.01,69.0,8.4,E
4204,Metal Gear Solid: The Twin Snakes,GC,2004.0,Action,0.3,0.08,0.07,0.01,85.0,9,M
4205,Tiger Woods PGA Tour 07,Wii,,Sports,0.43,0.0,0.0,0.04,71.0,6.9,E
4206,Art Academy: Lessons for Everyone,3DS,2012.0,Action,0.2,0.04,0.21,0.02,81.0,7.6,E
4207,Mat Hoffman's Pro BMX 2,PS2,2002.0,Sports,0.23,0.18,0.0,0.06,76.0,9.1,T
4208,Metal Gear Solid: The Essential Collection,PS2,2007.0,Adventure,0.23,0.18,0.0,0.06,,8.9,M
4209,One Piece: Pirate Warriors 3,PS4,2015.0,Action,0.09,0.22,0.1,0.06,74.0,7.4,T
4210,Iridion 3D,GBA,2001.0,Shooter,0.33,0.12,0.0,0.01,53.0,tbd,E
4211,2010 FIFA World Cup South Africa,PSP,2010.0,Sports,0.09,0.22,0.03,0.12,69.0,7.4,E
4212,Classic NES Series: Pac-Man,GBA,2004.0,Puzzle,0.25,0.09,0.12,0.01,53.0,tbd,E
4213,Two Worlds II,PS3,2011.0,Role-Playing,0.26,0.1,0.06,0.05,70.0,7,M
4214,Football Manager 2015,PC,2014.0,Simulation,0.0,0.44,0.0,0.03,80.0,6,
4215,Destroy All Humans!,XB,2005.0,Shooter,0.34,0.11,0.0,0.02,,,
4216,Petz Sports,Wii,2008.0,Simulation,0.42,0.01,0.0,0.04,,,
4217,Imagine: Figure Skater (US sales),DS,2007.0,Sports,0.46,0.01,0.0,0.0,,,
4218,SimCity Creator,Wii,2008.0,Simulation,0.36,0.02,0.04,0.04,67.0,6.8,E
4219,Dragon Ball Z: Collectible Card Game,GBA,2002.0,Misc,0.33,0.12,0.0,0.01,62.0,5.5,E
4220,Circus Atari,2600,,Action,0.43,0.03,0.0,0.0,,,
4221,Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,0.38,0.05,0.0,0.04,69.0,7.2,E10+
4222,The Sims 3: Ambitions,PC,2010.0,Simulation,0.0,0.29,0.0,0.17,74.0,7.3,T
4223,Razor Freestyle Scooter,PS,1999.0,Sports,0.26,0.17,0.0,0.03,65.0,tbd,E
4224,Disney's Kim Possible 3: Team Possible,GBA,2005.0,Platform,0.33,0.12,0.0,0.01,76.0,7.7,E
4225,Rygar: The Legendary Adventure,PS2,2002.0,Action,0.2,0.15,0.06,0.05,83.0,8.4,T
4226,Syphon Filter: Logan's Shadow,PSP,2007.0,Shooter,0.25,0.12,0.0,0.09,85.0,8.8,T
4227,Super Batter Up,SNES,1992.0,Sports,0.0,0.0,0.46,0.0,,,
4228,Kessen II,PS2,2001.0,Strategy,0.13,0.1,0.2,0.03,71.0,8.3,T
4229,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993.0,Platform,0.0,0.0,0.46,0.0,,,
4230,Stuart Little 2,GBA,2002.0,Platform,0.33,0.12,0.0,0.01,59.0,tbd,E
4231,Tak 2: The Staff of Dreams,GBA,2004.0,Platform,0.33,0.12,0.0,0.01,45.0,tbd,E
4232,SingStar Amped,PS2,2007.0,Misc,0.23,0.18,0.0,0.06,76.0,tbd,T
4233,Brothers In Arms: Earned in Blood,PS2,2005.0,Shooter,0.38,0.01,0.0,0.06,71.0,7.9,M
4234,The Evil Within,X360,2014.0,Action,0.25,0.16,0.01,0.04,,7.6,M
4235,Dragon Ball Z: Sagas,PS2,2005.0,Fighting,0.38,0.01,0.0,0.06,49.0,5.4,T
4236,Scooby-Doo,GBA,2001.0,Platform,0.33,0.12,0.0,0.01,64.0,tbd,E
4237,MX vs. ATV: Alive,PS3,2011.0,Racing,0.24,0.15,0.0,0.07,61.0,6.7,E
4238,Hydro Thunder,PS,1999.0,Racing,0.26,0.17,0.0,0.03,,,
4239,NHL FaceOff '97,PS,1996.0,Sports,0.26,0.17,0.0,0.03,,,
4240,Thief (2014),XOne,2014.0,Action,0.26,0.15,0.0,0.04,,,
4241,The Walking Dead: Season One,PS4,2014.0,Adventure,0.12,0.25,0.02,0.07,,,
4242,NBA Live 07,X360,2006.0,Sports,0.42,0.0,0.0,0.04,59.0,4.9,E
4243,Brothers In Arms: Road to Hill 30,PS2,2005.0,Shooter,0.38,0.01,0.0,0.06,82.0,7.6,M
4244,The Legend of Spyro: Dawn of the Dragon,DS,2008.0,Platform,0.26,0.15,0.0,0.05,57.0,6.8,E
4245,Gremlins,2600,1983.0,Action,0.43,0.03,0.0,0.0,,,
4246,The Mark of Kri,PS2,2002.0,Action,0.22,0.18,0.0,0.06,80.0,7.9,M
4247,Need for Speed: Hot Pursuit,Wii,2010.0,Racing,0.17,0.23,0.0,0.05,50.0,3.7,E10+
4248,Jampack Winter 2003 (RP-M),PS2,2003.0,Misc,0.22,0.18,0.0,0.06,,,
4249,Rugrats: Castle Capers,GBA,2001.0,Action,0.33,0.12,0.0,0.01,,,
4250,Crash Nitro Kart,GBA,2003.0,Racing,0.33,0.12,0.0,0.01,77.0,8.3,E
4251,Crayola: Treasure Adventures,DS,2007.0,Puzzle,0.42,0.01,0.0,0.03,65.0,tbd,E
4252,LEGO The Hobbit,PS3,2014.0,Action,0.12,0.27,0.0,0.07,,7,E10+
4253,Silent Hill: Downpour,PS3,2012.0,Action,0.21,0.15,0.04,0.06,64.0,6.9,M
4254,Mega Man Star Force 3: Black Ace / Red Joker,DS,2008.0,Action,0.22,0.0,0.22,0.02,,,
4255,WWE SmackDown vs. Raw 2011,Wii,2010.0,Fighting,0.29,0.13,0.0,0.04,72.0,tbd,T
4256,Jak and Daxter: The Lost Frontier,PS2,2009.0,Platform,0.22,0.17,0.0,0.06,72.0,4.6,E10+
4257,Momotarou Dentetsu 11,PS2,2002.0,Misc,0.0,0.0,0.46,0.0,,,
4258,Disney Infinity 3.0,WiiU,2015.0,Action,0.21,0.21,0.0,0.04,,,
4259,The Sims 3: Outdoor Living Stuff,PC,2011.0,Simulation,0.0,0.38,0.0,0.08,,5.6,T
4260,Star Wars: Demolition,PS,2000.0,Racing,0.25,0.17,0.0,0.03,63.0,6.5,T
4261,Bloody Roar II,PS,1999.0,Fighting,0.25,0.17,0.0,0.03,,,
4262,Delta Force: Black Hawk Down,PS2,2005.0,Shooter,0.22,0.17,0.0,0.06,58.0,8.8,T
4263,The Princess and the Frog,Wii,2009.0,Platform,0.29,0.13,0.0,0.04,,tbd,E
4264,Space Invaders,SNES,1994.0,Shooter,0.0,0.0,0.46,0.0,,,
4265,.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,0.14,0.11,0.17,0.04,70.0,8.7,T
4266,Mother 1+2,GBA,2003.0,Role-Playing,0.0,0.0,0.45,0.01,,,
4267,MX vs. ATV Untamed,PS3,2007.0,Racing,0.35,0.06,0.0,0.05,67.0,6.1,E
4268,Boom Blox Bash Party,Wii,2009.0,Puzzle,0.33,0.09,0.0,0.04,86.0,8.4,E
4269,Top Spin,XB,2003.0,Sports,0.36,0.08,0.0,0.02,89.0,8.2,E
4270,Brothers In Arms: D-Day,PSP,2006.0,Shooter,0.23,0.14,0.0,0.09,65.0,9.1,M
4271,Warhawk,PS,1995.0,Simulation,0.25,0.17,0.0,0.03,,,
4272,The Golden Compass,X360,2007.0,Action,0.3,0.12,0.0,0.04,41.0,4.1,E10+
4273,Tomb Raider: Legend,PSP,2006.0,Action,0.09,0.24,0.0,0.12,67.0,7.9,T
4274,Just Dance 2014,XOne,2013.0,Misc,0.3,0.11,0.0,0.04,71.0,7,E10+
4275,Tales of Vesperia,PS3,2009.0,Role-Playing,0.0,0.0,0.45,0.0,,,
4276,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005.0,Platform,0.33,0.12,0.0,0.01,,,
4277,Dora The Explorer: Dora Saves the Snow Princess,DS,2008.0,Platform,0.26,0.15,0.0,0.03,,,
4278,Missile Command,PS,1999.0,Shooter,0.25,0.17,0.0,0.03,,,
4279,FIFA 15,3DS,2014.0,Sports,0.09,0.34,0.0,0.03,,2.4,E
4280,Jikkyou Powerful Pro Yakyuu 3,SNES,1996.0,Sports,0.0,0.0,0.45,0.0,,,
4281,Jikkyou Powerful Pro Yakyuu 12,PS2,2005.0,Sports,0.0,0.0,0.45,0.0,,,
4282,Enter the Matrix,GC,2003.0,Action,0.34,0.09,0.02,0.01,63.0,8,T
4283,LEGO The Hobbit,X360,2014.0,Action,0.2,0.21,0.0,0.04,70.0,8.7,E10+
4284,NASCAR 2005: Chase for the Cup,XB,2004.0,Racing,0.34,0.1,0.0,0.02,86.0,tbd,E
4285,J-League Excite Stage '95,SNES,1995.0,Sports,0.0,0.0,0.45,0.0,,,
4286,Vin Diesel: Wheelman,X360,2009.0,Racing,0.24,0.17,0.0,0.05,,,
4287,NHL 15,X360,2014.0,Sports,0.35,0.05,0.0,0.05,,2.8,E10+
4288,Phantasy Star Online Episode I & II,GC,2002.0,Role-Playing,0.23,0.06,0.16,0.01,,,
4289,PlayStation All-Stars Battle Royale,PSV,2012.0,Action,0.21,0.14,0.01,0.09,75.0,7.5,T
4290,The Powerpuff Girls: Relish Rampage,PS2,2002.0,Action,0.22,0.17,0.0,0.06,46.0,6.8,E
4291,Bleach: The Blade of Fate,DS,2006.0,Fighting,0.29,0.01,0.12,0.03,83.0,7.5,T
4292,American Girl: Kit Mystery Challenge!,DS,2008.0,Adventure,0.42,0.0,0.0,0.03,,tbd,E
4293,Country Dance 2,Wii,2011.0,Misc,0.43,0.0,0.0,0.03,,tbd,E10+
4294,The Chronicles of Riddick: Escape from Butcher Bay,XB,,Shooter,0.32,0.11,0.0,0.02,89.0,8.9,M
4295,NFL Head Coach,PS2,2006.0,Sports,0.38,0.01,0.0,0.06,66.0,6.9,E
4296,Ghostbusters,2600,1985.0,Puzzle,0.42,0.03,0.0,0.0,,,
4297,Nickelodeon Team Umizoomi,DS,2011.0,Action,0.42,0.0,0.0,0.03,,tbd,EC
4298,NCAA Gamebreaker 99,PS,1998.0,Sports,0.25,0.17,0.0,0.03,,,
4299,Tomb Raider: Underworld,Wii,2008.0,Action,0.13,0.27,0.0,0.05,70.0,7.2,T
4300,Area 51,PS2,2005.0,Shooter,0.22,0.17,0.0,0.06,75.0,8.4,M
4301,World Stadium 2,PS,1998.0,Sports,0.0,0.0,0.42,0.03,,,
4302,NHL 2005,PS2,2004.0,Sports,0.22,0.17,0.0,0.06,75.0,8.3,E
4303,The New York Times Crosswords,DS,2007.0,Puzzle,0.42,0.0,0.0,0.03,79.0,6.7,T
4304,Karaoke Revolution Presents American Idol Encore,Wii,2008.0,Misc,0.42,0.0,0.0,0.03,,7.8,E
4305,Barbie as The Island Princess,Wii,2007.0,Adventure,0.42,0.0,0.0,0.03,,tbd,E
4306,Lego Batman 3: Beyond Gotham,3DS,2014.0,Action,0.21,0.2,0.0,0.04,,6.4,E10+
4307,iCarly,Wii,2009.0,Adventure,0.42,0.0,0.0,0.03,,tbd,E
4308,Star Wars Jedi Knight: Jedi Academy,XB,2003.0,Shooter,0.34,0.1,0.0,0.02,76.0,8.7,T
4309,Phoenix,2600,1981.0,Simulation,0.42,0.02,0.0,0.0,,,
4310,Dynasty Warriors: Strikeforce,PSP,2009.0,Action,0.03,0.02,0.38,0.02,65.0,6.8,T
4311,Brain Challenge,DS,2008.0,Misc,0.41,0.0,0.0,0.03,68.0,7,E
4312,Command & Conquer: Red Alert 3,X360,2008.0,Strategy,0.18,0.23,0.0,0.05,,,
4313,Enemy Territory: Quake Wars,X360,2008.0,Shooter,0.3,0.11,0.0,0.04,69.0,7.3,T
4314,Major League Baseball 2K11,X360,2011.0,Sports,0.4,0.03,0.0,0.03,69.0,6.8,E
4315,Harvest Moon DS (US sales),DS,2005.0,Simulation,0.4,0.05,0.0,0.0,,,
4316,Apocalypse,PS,1998.0,Action,0.25,0.17,0.0,0.03,,,
4317,ATV Offroad Fury Pro,PSP,2006.0,Racing,0.37,0.03,0.0,0.04,76.0,tbd,E
4318,Burnout Dominator,PSP,2007.0,Racing,0.02,0.38,0.01,0.05,76.0,8.2,E10+
4319,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004.0,Misc,0.32,0.12,0.0,0.01,,,
4320,God Eater 2,PSV,2013.0,Role-Playing,0.0,0.0,0.45,0.0,,,
4321,Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,0.29,0.13,0.0,0.04,,,
4322,Crash of the Titans,Wii,2007.0,Action,0.39,0.02,0.0,0.03,69.0,5.8,E10+
4323,World Soccer Winning Eleven 5 Final Evolution,PS2,2001.0,Sports,0.0,0.0,0.45,0.0,,,
4324,Red Faction: Armageddon,PS3,2011.0,Shooter,0.2,0.15,0.03,0.07,71.0,7.3,M
4325,Sphinx and the Cursed Mummy,PS2,2003.0,Action,0.22,0.17,0.0,0.06,,,
4326,Fatal Fury 2,SNES,1993.0,Fighting,0.0,0.0,0.45,0.0,,,
4327,Rampage World Tour,N64,1998.0,Action,0.36,0.08,0.0,0.01,,,
4328,Pokemon Puzzle League,N64,2000.0,Puzzle,0.36,0.08,0.0,0.01,,,
4329,PES 2009: Pro Evolution Soccer,Wii,2009.0,Sports,0.09,0.26,0.05,0.05,,,
4330,Despicable Me: The Game - Minion Mayhem,DS,2010.0,Puzzle,0.37,0.05,0.0,0.03,,,
4331,Lego Batman 3: Beyond Gotham,WiiU,2014.0,Action,0.21,0.21,0.0,0.04,,7,E10+
4332,Tekken Advance,GBA,2001.0,Fighting,0.32,0.12,0.0,0.01,82.0,8.2,T
4333,Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,0.22,0.03,0.0,0.2,86.0,8.4,M
4334,Persona,PS,1995.0,Role-Playing,0.0,0.0,0.42,0.03,,,
4335,Hot Wheels: Stunt Track Challenge,GBA,2004.0,Racing,0.32,0.12,0.0,0.01,,tbd,E
4336,My Fashion Studio,DS,2007.0,Misc,0.41,0.0,0.0,0.03,,6.8,E
4337,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,0.42,0.02,0.0,0.0,,,
4338,Mobile Suit Gundam,PS,1995.0,Action,0.0,0.0,0.42,0.03,,,
4339,TNA iMPACT!,X360,2008.0,Fighting,0.26,0.15,0.0,0.04,,,
4340,Pirates of the Caribbean: At World's End,Wii,2007.0,Action,0.39,0.02,0.01,0.04,53.0,7.2,T
4341,Bee Movie Game,DS,2007.0,Action,0.41,0.0,0.0,0.03,58.0,tbd,E
4342,Sega Rally Revo,X360,2007.0,Racing,0.12,0.28,0.0,0.05,77.0,7.2,E
4343,SingStar Take That,PS2,2009.0,Misc,0.0,0.06,0.0,0.39,,,
4344,Final Fantasy Collection,PS,1999.0,Role-Playing,0.0,0.0,0.42,0.03,,,
4345,Disney Sing It! High School Musical 3: Senior Year,PS2,2008.0,Misc,0.09,0.02,0.0,0.34,,,
4346,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,0.04,0.03,0.36,0.01,72.0,8.6,T
4347,LEGO Rock Band,DS,2009.0,Misc,0.32,0.09,0.0,0.04,80.0,7.5,E
4348,NHL FaceOff,PS,1994.0,Sports,0.25,0.17,0.0,0.03,,,
4349,WWE WrestleMania 21,XB,2005.0,Fighting,0.34,0.1,0.0,0.02,56.0,6.9,T
4350,NBA Live 2005,GC,2004.0,Sports,0.35,0.09,0.0,0.01,83.0,6.7,E
4351,F.E.A.R. 3,PS3,2011.0,Shooter,0.21,0.16,0.01,0.07,74.0,7.1,M
4352,Defender II,2600,1987.0,Shooter,0.42,0.02,0.0,0.0,,,
4353,WWE Day of Reckoning,GC,2004.0,Fighting,0.35,0.09,0.0,0.01,79.0,9.1,T
4354,NBA Live 10,X360,2009.0,Sports,0.4,0.02,0.0,0.03,80.0,7.7,E
4355,ATV Quad Power Racing 2,XB,2003.0,Racing,0.36,0.07,0.0,0.01,68.0,tbd,E
4356,Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,0.21,0.2,0.0,0.04,38.0,5,T
4357,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,0.25,0.17,0.0,0.03,,,
4358,Pro Evolution Soccer 2017,PS4,2016.0,Sports,0.02,0.27,0.11,0.05,85.0,7.6,E
4359,Sled Storm,PS2,2002.0,Racing,0.22,0.17,0.0,0.06,73.0,7.7,T
4360,Vandal Hearts,PS,1996.0,Role-Playing,0.14,0.09,0.19,0.03,,,
4361,Dead or Alive: Dimensions,3DS,2011.0,Fighting,0.13,0.21,0.07,0.03,79.0,8.2,T
4362,Disney Infinity 3.0,PS3,2015.0,Action,0.16,0.21,0.0,0.07,,,
